Sample Date,Address,1st Draw,2/3 Min,5 Min
10/16/19,1000XX S OAKLEY AVE,3,10,9.6
2/23/19,100XX S ARTESIAN AVE,9.2,4.3,2.5
5/3/19,100XX S ARTESIAN AVE,1.1,2.9,1.3
5/5/19,100XX S ARTESIAN AVE,1.2,2.6,< 1
11/30/21 9:00,100XX S AVENUE L ,3.6,16,4.6
5/23/20,100XX S AVENUE M,3.9,2.5,1.7
10/6/21 15:25,100XX S AVENUE M ,57,2.5,2.2
8/2/22,100XX S AVENUE M ,See Follow-Up Sequential Sampling Table for Results,,
4/23/18,100XX S BELL AVE,1.7,3.4,1.6
3/6/19,100XX S BELL AVE,1.4,1.9,< 1
8/23/19,100XX S BELL AVE,4,5.8,2.6
9/26/19,100XX S BELL AVE,2.3,5,3.6
11/7/20,100XX S BELL AVE,1.8,1.8,< 1
4/28/19,100XX S BELL AVE,23,4.3,< 1
4/28/19,100XX S BELL AVE,23,4.3,1
9/4/19 9:00,100XX S BELL AVE,See Follow-Up Sequential Sampling Table for Results,,
11/7/23 7:00,100XX S BENSLEY AVE ,5.6,1.4,1
6/6/16,100XX S CALHOUN AVE,4.1,5.1,9.8
6/6/16 7:00,100XX S CALHOUN AVE,4.1,5.1,9.8
7/16/16,100XX S CALHOUN AVE,See Follow-Up Sequential Sampling Table for Results,,
2/17/19,100XX S CALIFORNIA AVE,4.5,8,2
3/2/19,100XX S CALIFORNIA AVE,5.6,4,1.1
5/7/19,100XX S CALIFORNIA AVE,2.9,7,< 1
7/16/19,100XX S CALUMET AVE,4.7,6.1,2.6
8/29/19,100XX S CALUMET AVE,12,7.1,4.4
10/13/20,100XX S CALUMET AVE,2.7,4.5,2.6
8/2/19,100XX S CALUMET AVE,5.1,20,6.9
8/2/19,100XX S CALUMET AVE,5.1,20,6.9
12/17/19,100XX S CALUMET AVE,See Follow-Up Sequential Sampling Table for Results,,
4/13/22 7:00,100XX S CALUMET AVE ,7,0.9,<0.5
6/26/23 8:00,100XX S CALUMET AVE ,2.3,0.6,0.5
3/16/24 8:17,100XX S CALUMET AVE ,1.6,1.1,1.6
3/10/19,100XX S CAMPBELL AVE,< 1,< 1,< 1
12/19/18,100XX S CARPENTER ST,2,2.2,1
9/29/20,100XX S CARPENTER ST,2.4,11,2.7
12/9/20,100XX S CARPENTER ST,2.2,3.3,1.2
12/22/20,100XX S CARPENTER ST,4.9,5,1.5
1/14/21,100XX S CARPENTER ST,2.5,4.6,1.2
7/26/20,100XX S CARPENTER ST,85,11,4.7
8/2/19,100XX S CARPENTER ST,13,29,7.5
7/26/20,100XX S CARPENTER ST,85,11,4.7
7/14/21,100XX S CARPENTER ST,See Follow-Up Sequential Sampling Table for Results,,
8/2/19,100XX S CARPENTER ST,13,29,7.5
12/14/19 10:01,100XX S CARPENTER ST,See Follow-Up Sequential Sampling Table for Results,,
12/16/21 7:00,100XX S CARPENTER ST ,2.7,4.1,1.3
12/31/23 7:10,100XX S CARPENTER ST ,2.5,3,1.5
5/14/19,100XX S CHARLES ST,< 1,< 1,< 1
4/4/22 9:27,100XX S CHARLES ST,15,22,5.7
5/11/22,100XX S CHARLES ST,See Follow-Up Sequential Sampling Table for Results,,
4/4/22 9:27,100XX S CHARLES ST ,15,22,5.7
4/4/22 9:27,100XX S CHARLES ST ,15,22,5.7
3/28/19,100XX S CRANDON AVE,3.2,3.7,1.2
8/15/19,100XX S CRANDON AVE,2.1,4.6,1.5
10/24/19,100XX S CRANDON AVE,2.3,4.1,1.5
7/4/16,100XX S DAMEN AVE,1.6,5.5,1.5
7/8/16,100XX S DAMEN AVE,2.5,4.8,1.9
7/30/16,100XX S DAMEN AVE,1.7,2.5,1.4
9/3/19,100XX S DAMEN AVE,1,1.9,1
12/7/18,100XX S DR MARTIN LUTHER KING JR DR,1.7,3.6,< 1
8/22/19,100XX S DR MARTIN LUTHER KING JR DR,2.4,1.7,1.5
2/17/23 7:00,100XX S DR MARTIN LUTHER KING JR DR ,2.3,3.1,1.7
7/19/22 8:00,100XX S EBERHART AVE ,4.3,5,6.4
5/23/23 10:00,100XX S EBERHART AVE ,1.5,<0.5,<0.5
2/4/24 6:30,100XX S EBERHART AVE ,2,8,0.8
5/16/19,100XX S EMERALD AVE,1.7,2.5,2.3
6/18/18,100XX S EXCHANGE AVE,5.2,3,2.8
10/19/16,100XX S FAIRFIELD AVE,2.4,2.3,1.7
2/13/19,100XX S FAIRFIELD AVE,3.9,7.7,< 1
3/11/19,100XX S FAIRFIELD AVE,1.9,5.5,< 1
5/10/19,100XX S FOREST AVE,5.2,12,2.1
2/20/23 5:19,100XX S FOREST AVE ,5.4,9.9,4.7
8/7/19,100XX S GREEN ST,1.1,1.4,< 1
9/29/16,100XX S HAMILTON AVE,2.9,3,2.7
2/16/19,100XX S HAMILTON AVE,1.3,1.6,1.2
1/7/22 11:30,100XX S HOXIE AVE ,3.2,3.5,3.8
5/24/24 8:00,100XX S HOXIE AVE ,0.9,0.9,0.9
10/2/16,100XX S HOYNE AVE,1.3,2.3,< 1
10/25/18,100XX S HOYNE AVE,1.4,1.6,1.4
2/25/19,100XX S HOYNE AVE,1.6,5.1,1.1
8/7/19,100XX S HOYNE AVE,2.5,2.7,2.2
4/11/21,100XX S HOYNE AVE,1.1,< 1,< 1
6/16/23 6:15,100XX S INDIANA AVE ,0.9,0.6,0.7
6/12/24 10:00,100XX S INDIANA AVE ,2.7,8.4,2.5
10/22/19,100XX S LA SALLE ST,< 1,< 1,< 1
10/19/21 9:00,100XX S LA SALLE ST ,7.4,12,11
6/11/22 7:52,100XX S LA SALLE ST ,1.3,1.4,19
6/14/21,100XX S LAFAYETTE AVE,6.3,1.5,1.1
2/8/24 7:00,100XX S LAFAYETTE AVE ,5.9,12,5.4
4/17/24 9:20,100XX S LAFAYETTE AVE ,1.9,6.9,2
6/11/22,100XX S LASALLE ST,1.3,1.4,19
7/28/22,100XX S LASALLE ST,See Follow-Up Sequential Sampling Table for Results,,
10/19/21,100XX S LASALLE ST,7.4,12,11
12/14/21,100XX S LASALLE ST,See Follow-Up Sequential Sampling Table for Results,,
3/22/19,100XX S LEAVITT ST,1.2,4.2,1
11/7/23 7:00,100XX S LEAVITT ST ,0.7,0.9,0.6
11/11/18,100XX S LONGWOOD DR,6.2,14,8.8
1/12/24,100XX S LONGWOOD DR,See Follow-Up Sequential Sampling Table for Results,,
7/29/19,100XX S LONGWOOD DR,6.5,6.8,14
,100XX S LONGWOOD DR,Customer declined further testing,,
4/6/24 6:41,100XX S LONGWOOD DR ,4.9,10,2.5
11/26/23 17:00,100XX S LONGWOOD DR ,21,14,3.7
11/26/23 17:00,100XX S LONGWOOD DR ,21,14,3.7
